# in Mpc/h Units 
# D1 = 0.197862 
# k P N P(z=0)
0.020944 9.74938 6 249.03
0.0296192 7.92791 12 202.504
0.036276 6.56229 8 167.622
0.0418879 5.52213 6 141.053
0.0468321 5.05449 24 129.108
0.051302 4.69117 24 119.827
0.0592384 4.20532 12 107.417
0.0628319 4.06601 30 103.859
0.0662306 3.91486 24 99.9978
0.0694632 3.73845 24 95.4917
0.072552 3.56653 8 91.1004
0.0755145 3.40737 24 87.035
0.0783651 3.22842 48 82.4641
0.0837758 2.91563 6 74.4744
0.0863541 2.74272 48 70.0578
0.0888577 2.5932 36 66.2384
0.0912926 2.44987 24 62.5774
0.0936642 2.3491 24 60.0033
0.0959772 2.2327 48 57.0302
0.0982358 2.13299 24 54.4832
0.102604 1.96345 24 50.1527
0.10472 1.88591 30 48.1722
0.106794 1.85329 72 47.3388
0.108828 1.82437 32 46.6002
0.112787 1.74509 72 44.5752
0.114715 1.71918 48 43.9132
0.118477 1.67612 12 42.8134
0.120314 1.66008 48 42.4036
0.122123 1.62827 48 41.5912
0.123906 1.6154 48 41.2623
0.125664 1.57724 30 40.2877
0.127397 1.59541 24 40.7518
0.129107 1.5438 72 39.4336
0.132461 1.4938 24 38.1563
0.134107 1.46172 96 37.337
0.135732 1.43585 48 36.676
0.137339 1.41512 24 36.1466
0.138926 1.38942 24 35.4901
0.140496 1.34107 72 34.2552
0.142049 1.30483 48 33.3294
0.145104 1.29448 8 33.0652
0.146608 1.25028 54 31.936
0.148632 1.19443 132 30.5095
0.151029 1.14472 24 29.2397
0.152474 1.11474 72 28.4739
0.153906 1.10465 96 28.2163
0.15673 1.04715 48 26.7474
0.158123 1.02063 48 26.0701
0.160531 0.999982 96 25.5427
0.163577 0.964042 72 24.6247
0.164913 0.948785 96 24.235
0.167552 0.985323 6 25.1683
0.169502 0.909135 192 23.2222
0.172283 0.889295 72 22.7154
0.173974 0.881157 96 22.5075
0.17523 0.867162 48 22.15
0.178418 0.846521 84 21.6228
0.180167 0.833138 120 21.281
0.181741 0.835045 80 21.3297
0.184179 0.815083 144 20.8198
0.187328 0.812103 24 20.7437
0.188867 0.791397 150 20.2148
0.191267 0.779916 120 19.9215
0.193903 0.763086 168 19.4916
0.196472 0.751614 24 19.1986
0.198088 0.741929 264 18.9512
0.199793 0.720098 48 18.3936
0.202698 0.70693 144 18.0572
0.205919 0.689357 72 17.6084
0.207757 0.675531 180 17.2552
0.21056 0.649705 246 16.5955
0.213587 0.628815 72 16.0619
0.215528 0.619387 240 15.8211
0.218352 0.594034 104 15.1735
0.219662 0.587317 144 15.0019
0.223423 0.558056 240 14.2545
0.22618 0.550964 192 14.0734
0.228278 0.540363 120 13.8026
0.231217 0.524358 246 13.3938
0.234628 0.514328 288 13.1376
0.237806 0.504577 156 12.8885
0.239714 0.496284 216 12.6767
0.242607 0.487753 264 12.4587
0.245954 0.480213 264 12.2662
0.248695 0.468177 192 11.9587
0.252641 0.45794 318 11.6972
0.255182 0.454015 248 11.597
0.257969 0.445111 336 11.3695
0.260901 0.435175 264 11.1157
0.263594 0.434875 120 11.1081
0.266618 0.418154 420 10.681
0.269843 0.408982 264 10.4467
0.273272 0.395447 366 10.101
0.275985 0.387831 336 9.90642
0.280415 0.375167 456 9.58295
0.283902 0.36105 384 9.22235
0.287082 0.352577 432 9.00593
0.291553 0.340748 296 8.70377
0.29372 0.337639 390 8.62437
0.297469 0.327975 444 8.37752
0.301416 0.322061 600 8.22644
0.304904 0.314007 408 8.02073
0.308899 0.305098 408 7.79315
0.311881 0.302179 384 7.7186
0.316099 0.295197 774 7.54026
0.320152 0.2885 432 7.36919
0.323319 0.282422 456 7.21395
0.327249 0.277657 620 7.09223
0.331125 0.26951 600 6.88413
0.335425 0.261266 582 6.67356
0.339086 0.25792 576 6.5881
0.342966 0.249112 768 6.3631
0.347538 0.245307 744 6.26592
0.352007 0.236648 648 6.04473
0.356145 0.227868 666 5.82046
0.360285 0.224198 960 5.72671
0.365066 0.216908 752 5.54053
0.368573 0.215839 552 5.5132
0.372864 0.210537 984 5.37778
0.378105 0.204445 1062 5.22217
0.382338 0.201341 648 5.14289
0.386795 0.19565 1140 4.99752
0.391574 0.190178 864 4.85775
0.396297 0.185681 1062 4.74288
0.401127 0.181229 968 4.62916
0.405513 0.176038 1248 4.49657
0.410547 0.172143 864 4.39707
0.41537 0.166905 1404 4.26327
0.420644 0.16379 1086 4.18371
0.425289 0.159631 1272 4.07749
0.430681 0.154458 1392 3.94536
0.436011 0.151696 1376 3.87478
0.440941 0.148348 1110 3.78927
0.446174 0.144595 1740 3.6934
0.45185 0.140847 1584 3.59767
0.457529 0.136701 1368 3.49177
0.462665 0.134011 1662 3.42307
0.467842 0.131111 1536 3.34898
0.473473 0.127183 1820 3.24866
0.479577 0.123389 1902 3.15175
0.485197 0.120762 1704 3.08464
0.490809 0.117863 2040 3.0106
0.497084 0.114162 2088 2.91606
0.503027 0.110989 1842 2.83501
0.508843 0.107908 2456 2.75632
0.51514 0.105443 1968 2.69336
0.521205 0.103169 2382 2.63525
0.527271 0.100351 2352 2.56329
0.533802 0.0976243 2604 2.49363
0.539882 0.0945867 2280 2.41604
0.546709 0.0930417 2990 2.37658
0.553468 0.0902651 2880 2.30565
0.559954 0.0875923 2508 2.23738
0.566543 0.0855844 3126 2.1861
0.573496 0.0834752 3216 2.13222
0.580523 0.0809095 3032 2.06668
0.587241 0.0794356 3294 2.02904
0.594316 0.0768699 3540 1.9635
0.601466 0.0743981 3408 1.90036
0.609018 0.0727416 4014 1.85805
0.61634 0.0713692 3728 1.823
0.623417 0.0690749 3588 1.76439
0.630695 0.067515 4230 1.72455
0.638291 0.0650823 4176 1.66241
0.645683 0.0634621 4158 1.62102
0.653416 0.0622303 4652 1.58956
0.660988 0.0602708 4584 1.53951
0.669506 0.0585059 5454 1.49442
0.677708 0.0569113 4884 1.45369
0.685505 0.0554237 5000 1.4157
0.694 0.0539558 5934 1.3782
0.702333 0.0524457 5376 1.33963
0.710789 0.0510392 5898 1.3037
0.719251 0.0494466 6216 1.26302
0.727942 0.0481944 6104 1.23104
0.736661 0.0468859 6618 1.19761
0.745211 0.0456091 6480 1.165
0.754127 0.0444724 6918 1.13597
0.762976 0.0432815 7304 1.10555
0.772239 0.0418956 7338 1.07015
0.781657 0.0409017 8376 1.04476
0.791082 0.0395824 7590 1.01106
0.800591 0.0386057 8780 0.986111
0.810283 0.0373525 8496 0.954101
0.820075 0.0365 9294 0.932324
0.829801 0.0352722 8828 0.900964
0.839624 0.0344523 9846 0.88002
0.849851 0.0334618 10248 0.85472
0.860395 0.0322964 10626 0.824951
0.870624 0.0314659 10520 0.803737
0.880856 0.0304878 10902 0.778756
0.8914 0.0295405 11796 0.754558
0.902254 0.0288411 11894 0.736694
0.912774 0.0280542 12060 0.716593
0.923682 0.0271946 12942 0.694636
0.934704 0.0263437 13224 0.672901
0.946056 0.0256206 14042 0.654431
0.957461 0.0248812 14400 0.635544
0.969088 0.0240661 15054 0.614725
0.980756 0.0234555 15194 0.599128
0.992313 0.0227867 15768 0.582045
1.00427 0.0219487 16626 0.56064
1.0163 0.0214458 17168 0.547792
1.02842 0.0208044 17334 0.53141
1.04065 0.0201069 18564 0.513593
1.05325 0.0197135 19214 0.503546
1.06615 0.0188664 20298 0.481908
1.07882 0.0182918 19800 0.46723
1.09171 0.0179018 21434 0.457269
1.10469 0.0172531 21630 0.4407
1.1179 0.0168302 22976 0.429895
1.13133 0.0161754 23370 0.41317
1.14472 0.0157107 24240 0.4013
1.15877 0.0152779 26642 0.390245
1.17281 0.0147464 25518 0.37667
1.18671 0.0143116 27498 0.365563
1.20092 0.0138785 27944 0.354501
1.21541 0.0134126 29778 0.3426
1.23005 0.0129985 30158 0.332023
1.24487 0.0126129 32076 0.322174
