# in Mpc/h Units 
# D1 = 0.384848 
# k P N P(z=0)
0.0523599 763.297 6 5153.64
0.074048 1265.2 12 8542.41
0.09069 1340.18 8 9048.68
0.10472 187.743 6 1267.61
0.11708 830.126 24 5604.86
0.128255 500.923 24 3382.14
0.148096 890.895 12 6015.16
0.15708 382.153 30 2580.23
0.165576 432.733 24 2921.73
0.173658 373.131 24 2519.31
0.18138 200.16 8 1351.45
0.188786 405.841 24 2740.16
0.195913 311.372 48 2102.33
0.20944 179.642 6 1212.91
0.215885 236.824 48 1598.99
0.222144 250.34 36 1690.25
0.228231 142.691 24 963.425
0.23416 304.35 24 2054.91
0.239943 218.955 48 1478.34
0.24559 234.451 24 1582.97
0.25651 174.867 24 1180.67
0.261799 105.96 30 715.424
0.266984 161.947 72 1093.43
0.27207 269.584 32 1820.18
0.281967 148.65 72 1003.65
0.286787 175.517 48 1185.06
0.296192 170.948 12 1154.21
0.300785 175.951 48 1187.99
0.305308 175.28 48 1183.46
0.309765 135.04 48 911.767
0.314159 106.818 30 721.215
0.318493 142.056 24 959.136
0.322768 137.792 72 930.349
0.331153 134.906 24 910.859
0.335267 100.291 96 677.149
0.339331 147.917 48 998.707
0.343347 121.922 24 823.194
0.347316 121.227 24 818.501
0.351241 94.8554 72 640.446
0.355122 83.8383 48 566.061
0.36276 176.769 8 1193.51
0.366519 138.163 54 932.853
0.37024 87.1905 84 588.694
0.373924 91.0276 48 614.602
0.377572 99.9585 24 674.901
0.381186 88.05 72 594.497
0.384765 116.661 96 787.671
0.391825 94.9933 48 641.377
0.395308 78.6138 48 530.786
0.398761 103.503 24 698.831
0.402184 89.6678 72 605.42
0.408944 95.6527 72 645.829
0.412282 80.7807 96 545.416
0.418879 13.7089 6 92.5601
0.422139 84.4999 96 570.528
0.425374 97.3932 96 657.581
0.428584 69.0533 24 466.235
0.431771 55.4464 48 374.364
0.434934 80.5476 96 543.843
0.438074 89.1208 48 601.727
0.444288 89.3439 36 603.233
0.447363 66.809 48 451.082
0.450417 73.0106 120 492.954
0.45345 65.517 56 442.359
0.456463 55.1866 24 372.61
0.459456 68.7903 96 464.46
0.46243 70.7783 48 477.882
0.468321 51.7705 24 349.545
0.471239 51.1165 102 345.129
0.475868 49.0758 120 331.35
0.479886 97.9215 48 661.148
0.482734 45.7922 48 309.18
0.485566 47.2396 120 318.953
0.491179 57.9615 24 391.346
0.493962 57.1039 144 385.555
0.497516 39.3147 168 265.446
0.50494 73.3919 48 495.529
0.507648 56.4661 96 381.248
0.51302 80.6106 24 544.268
0.515685 66.1493 48 446.628
0.518336 65.471 108 442.048
0.520974 42.5433 72 287.244
0.525815 61.6486 198 416.24
0.528809 43.8104 48 295.8
0.533968 46.164 72 311.691
0.536529 50.8954 96 343.636
0.539078 62.8993 72 424.684
0.542392 43.6562 104 294.759
0.546653 42.8382 72 289.236
0.549155 51.1968 144 345.671
0.557822 48.3571 192 326.498
0.561497 44.2159 48 298.538
0.565449 52.8424 192 356.782
0.568774 38.1802 72 257.785
0.573574 56.1642 48 379.21
0.575959 58.0123 78 391.688
0.57901 49.5694 168 334.683
0.585401 45.0159 144 303.939
0.587738 37.2665 144 251.617
0.592384 33.8736 12 228.708
