# in Mpc/h Units 
# D1 = 0.0471945 
# k P N P(z=0)
0.020944 55.0859 6 24731.9
0.0296192 45.2578 12 20319.4
0.036276 37.3645 8 16775.5
0.0418879 32.1206 6 14421.1
0.0468321 28.7507 24 12908.2
0.051302 26.8222 24 12042.3
0.0592384 23.8859 12 10724
0.0628319 23.1831 30 10408.5
0.0662306 22.3725 24 10044.6
0.0694632 21.331 24 9576.97
0.072552 20.3269 8 9126.15
0.0755145 19.4825 24 8747.03
0.0783651 18.4016 48 8261.73
0.0837758 16.9644 6 7616.52
0.0863541 15.6053 48 7006.29
0.0888577 14.7752 36 6633.59
0.0912926 14.0148 24 6292.22
0.0936642 13.4745 24 6049.64
0.0959772 12.8525 48 5770.36
0.0982358 12.1971 24 5476.14
0.102604 11.1196 24 4992.37
0.10472 10.6633 30 4787.5
0.106794 10.5649 72 4743.3
0.108828 10.4994 32 4713.9
0.112787 9.90562 72 4447.32
0.114715 9.74513 48 4375.26
0.118477 9.58673 12 4304.15
0.120314 9.47186 48 4252.57
0.122123 9.3389 48 4192.88
0.123906 9.21292 48 4136.32
0.125664 8.98431 30 4033.68
0.127397 9.13525 24 4101.45
0.129107 8.79092 72 3946.85
0.132461 8.48714 24 3810.46
0.134107 8.33572 96 3742.48
0.135732 8.18192 48 3673.43
0.137339 8.12163 24 3646.36
0.138926 7.96762 24 3577.22
0.140496 7.5992 72 3411.8
0.142049 7.40485 48 3324.55
0.145104 7.56585 8 3396.83
0.146608 7.15879 54 3214.07
0.148632 6.79577 132 3051.09
0.151029 6.51939 24 2927.01
0.152474 6.33012 72 2842.03
0.153906 6.32089 96 2837.89
0.15673 5.96046 48 2676.06
0.158123 5.78124 48 2595.6
0.160531 5.69473 96 2556.76
0.163577 5.53348 72 2484.36
0.164913 5.38665 96 2418.44
0.167552 5.42295 6 2434.74
0.169502 5.2155 192 2341.6
0.172283 5.11439 72 2296.2
0.173974 5.02544 96 2256.27
0.17523 4.95997 48 2226.87
0.178418 4.84064 84 2173.3
0.180167 4.71789 120 2118.19
0.181741 4.79521 80 2152.9
0.184179 4.62865 144 2078.12
0.187328 4.66974 24 2096.57
0.188867 4.50564 150 2022.89
0.191267 4.416 120 1982.65
0.193903 4.34719 168 1951.75
0.196472 4.27487 24 1919.28
0.198088 4.23681 264 1902.2
0.199793 4.08949 48 1836.05
